學號,性別,分發宿舍,分發寢室,分發床號
41001024E,女,女一舍,5250,2
41001028E,女,女一舍,5250,3
41001041E,女,女一舍,5250,4
40784242I,女,女一舍,5250,5
41001015E,女,女一舍,5250,6
41007209E,女,女一舍,5251,1
41007136E,女,女一舍,5251,2
41007220E,女,女一舍,5251,3
41007114E,女,女一舍,5251,4
41084228I,女,女一舍,5251,5
41007216E,女,女一舍,5251,6
41084248I,女,女一舍,5252,1
41068041T,女,女一舍,5252,2
41068040T,女,女一舍,5252,3
41068015T,女,女一舍,5252,4
41068029T,女,女一舍,5252,5
41068021T,女,女一舍,5252,6
41072903H,女,女一舍,5253,1
41084116I,女,女一舍,5253,2
41072902H,女,女一舍,5253,3
41072010H,女,女一舍,5253,4
41072020H,女,女一舍,5253,5
41072033H,女,女一舍,5253,6
41084136I,女,女一舍,5254,1
41020232L,女,女一舍,5254,2
41020135L,女,女一舍,5254,3
41020329L,女,女一舍,5254,4
41020328L,女,女一舍,5254,5
41020301L,女,女一舍,5254,6
41084135I,女,女一舍,5301,1
41000221E,女,女一舍,5301,2
41000105E,女,女一舍,5301,3
41000905E,女,女一舍,5301,4
41000116E,女,女一舍,5301,5
41000202E,女,女一舍,5301,6
41071220H,女,女一舍,5302,1
40984222I,女,女一舍,5302,2
41071219H,女,女一舍,5302,3
41071103H,女,女一舍,5302,4
41071120H,女,女一舍,5302,5
41071129H,女,女一舍,5302,6
40884249I,女,女一舍,5303,1
40901046E,女,女一舍,5303,2
40902031E,女,女一舍,5303,3
40992003M,女,女一舍,5303,4
40902005E,女,女一舍,5303,5
40902008E,女,女一舍,5303,6
40913014E,女,女一舍,5304,1
40913021E,女,女一舍,5304,2
40920103L,女,女一舍,5304,3
40920104L,女,女一舍,5304,4
40971117H,女,女一舍,5304,5
41084225I,女,女一舍,5304,6
41002017E,女,女一舍,5305,1
41002021E,女,女一舍,5305,2
41002026E,女,女一舍,5305,3
41002006E,女,女一舍,5305,4
41002016E,女,女一舍,5305,5
41084120I,女,女一舍,5305,6
40984228I,女,女一舍,5306,1
40920315L,女,女一舍,5306,2
40983019I,女,女一舍,5306,3
40902004E,女,女一舍,5306,4
40906219E,女,女一舍,5306,5
40920319L,女,女一舍,5306,6
41068025T,女,女一舍,5307,1
41021124L,女,女一舍,5307,2
41072039H,女,女一舍,5307,3
41021221L,女,女一舍,5307,4
41021127L,女,女一舍,5307,5
40983007I,女,女一舍,5307,6
41090126M,女,女一舍,5308,1
40983021I,女,女一舍,5308,2
41090205M,女,女一舍,5308,3
41090233M,女,女一舍,5308,4
41090216M,女,女一舍,5308,5
41090132M,女,女一舍,5308,6
40783041I,女,女一舍,5309,1
41023105L,女,女一舍,5309,2
41023139L,女,女一舍,5309,3
41023114L,女,女一舍,5309,4
41023108L,女,女一舍,5309,5
41023215L,女,女一舍,5309,6
40907213E,女,女一舍,5310,1
40907215E,女,女一舍,5310,2
40907219E,女,女一舍,5310,3
40722022L,女,女一舍,5310,4
40907234E,女,女一舍,5310,5
40907235E,女,女一舍,5310,6
40909003E,女,女一舍,5311,1
40913012E,女,女一舍,5311,2
40909012E,女,女一舍,5311,3
40913007E,女,女一舍,5311,4
40913005E,女,女一舍,5311,5
40909006E,女,女一舍,5311,6
41090210M,女,女一舍,5312,1
41090131M,女,女一舍,5312,2
41090228M,女,女一舍,5312,3
41090107M,女,女一舍,5312,4
41090220M,女,女一舍,5312,5
41090133M,女,女一舍,5312,6
40990215M,女,女一舍,5313,1
40990218M,女,女一舍,5313,2
40990207M,女,女一舍,5313,3
40990206M,女,女一舍,5313,4
40992001M,女,女一舍,5313,5
40990205M,女,女一舍,5313,6
41001014E,女,女一舍,5314,1
41001009E,女,女一舍,5314,2
41001020E,女,女一舍,5314,3
41001018E,女,女一舍,5314,4
41001022E,女,女一舍,5314,5
41001007E,女,女一舍,5314,6
41007145E,女,女一舍,5315,1
41007221E,女,女一舍,5315,2
41007106E,女,女一舍,5315,3
41007206E,女,女一舍,5315,4
41007104E,女,女一舍,5315,5
41007204E,女,女一舍,5315,6
